NAME,AFFGEOID,Total Population,Total Owner-Occupied Units,Total Renter-Occupied Units,Monthly Median Mortgage,Monthly Median Rent
Alabama,0400000US01,4858979,1269145,579180,1139,717
Alaska,0400000US02,738432,159056,91913,1827,1146
Arizona,0400000US04,6828065,1513861,898351,1343,913
Arkansas,0400000US05,2978204,752312,385713,1019,677
California,0400000US06,39144818,6909176,5808625,2155,1255
Colorado,0400000US08,5456574,1302266,722202,1577,1002
Connecticut,0400000US09,3590886,906227,446356,2067,1075
Delaware,0400000US10,945934,244849,99173,1537,1018
District of Columbia,0400000US11,672228,112750,160640,2294,1327
Florida,0400000US12,20271272,4765260,2535234,1435,1002
Georgia,0400000US13,10214860,2263697,1310665,1346,879
Hawaii,0400000US15,1431603,256389,194183,2270,1438
Idaho,0400000US16,1654930,405865,183455,1189,743
Illinois,0400000US17,12859995,3177705,1608683,1636,907
Indiana,0400000US18,6619680,1726338,775599,1102,745
Iowa,0400000US19,3123899,883808,352601,1171,697
Kansas,0400000US20,2911641,742564,370908,1282,757
Kentucky,0400000US21,4425092,1148752,559747,1112,675
Louisiana,0400000US22,4670724,1136709,591210,1200,788
Maine,0400000US23,1329328,393995,159289,1336,777
Maryland,0400000US24,6006401,1447662,718727,1951,1230
Massachusetts,0400000US25,6794422,1583667,966054,2063,1102
Michigan,0400000US26,9922576,2728815,1112333,1257,783
Minnesota,0400000US27,5489594,1522618,602127,1490,848
Mississippi,0400000US28,2992333,749982,346611,1077,717
Missouri,0400000US29,6083672,1590020,774668,1210,746
Montana,0400000US30,1032949,275063,134331,1294,711
Nebraska,0400000US31,1896190,487948,248665,1270,726
Nevada,0400000US32,2890845,559793,456916,1442,973
New Hampshire,0400000US33,1330608,369175,151076,1870,1000
New Jersey,0400000US34,8958013,2056107,1133379,2386,1192
New Mexico,0400000US35,2085109,519676,243927,1227,777
New York,0400000US36,19795791,3894722,3367557,2022,1132
North Carolina,0400000US37,10042802,2459072,1316509,1248,797
North Dakota,0400000US38,756928,192185,107453,1243,709
Ohio,0400000US39,11613423,3040444,1544640,1246,730
Oklahoma,0400000US40,3911338,961384,493937,1147,727
Oregon,0400000US41,4028977,939637,593793,1557,907
Pennsylvania,0400000US42,12802503,3431790,1527069,1425,840
Rhode Island,0400000US72,1056298,246909,163693,1815,925
South Carolina,0400000US44,4896146,1244998,570096,1183,790
South Dakota,0400000US45,858469,225219,105639,1210,655
Tennessee,0400000US46,6600299,1672329,832227,1181,764
Texas,0400000US47,27469114,5693770,3455426,1432,882
Utah,0400000US48,2995919,629584,276708,1428,887
Vermont,0400000US49,626042,182584,74583,1535,895
Virginia,0400000US50,8382993,2027005,1035778,1711,1116
Washington,0400000US51,7170351,1668071,1000841,1731,1014
West Virginia,0400000US53,1844128,537266,203624,966,643
Wisconsin,0400000US54,5771337,1547197,751910,1402,776
Wyoming,0400000US55,586107,156675,70190,1348,789
Puerto Rico,0400000US56,3474182,857710,386492,895,456
